"","Row.names","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","lib_size_clean","even","lib_size_trim","PD","SR"
"53","M_D13_SW1_7_S270_L001","M_D13_SW1_7_S270_L001",19,1.70538440458886,3.90283495632472,"M_D13_SW1.7",NA,21656,19863,"SW1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",21656,FALSE,21656,0.579188231325361,21656,4.21586909207769,19
"54","M_D13_SW1_8_S271_L001","M_D13_SW1_8_S271_L001",18,1.58870130299383,3.49440432209815,"M_D13_SW1.8",NA,26330,24660,"SW1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",26330,FALSE,26330,0.549652929127086,26330,4.21586908207769,18
"55","M_D13_SW2_1_S461_L001","M_D13_SW2_1_S461_L001",18,1.57243991924743,3.22529111177324,"M_D13_SW2.1",NA,30490,28104,"SW2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SW",NA,NA,NA,"","early",30490,FALSE,30490,0.544026876456879,30490,3.72514351954973,18
"56","M_D13_SW2_2_S272_L001","M_D13_SW2_2_S272_L001",19,1.59872126962875,3.4264603051389,"M_D13_SW2.2",NA,26891,24879,"SW2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SW",NA,NA,NA,"","early",26891,FALSE,26891,0.542962948439617,26891,3.87075785973925,19
"57","M_D13_SW2_3_S273_L001","M_D13_SW2_3_S273_L001",18,1.58797970359615,3.40090829274982,"M_D13_SW2.3",NA,26418,24600,"SW2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SW",NA,NA,NA,"","early",26418,FALSE,26418,0.549403272868956,26396,4.26540170534683,18
"58","M_D13_SW2_4_S274_L001","M_D13_SW2_4_S274_L001",19,1.62604509080925,3.5229385377047,"M_D13_SW2.4",NA,29091,26768,"SW2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SW",NA,NA,NA,"","early",29091,FALSE,29091,0.552242753989617,29091,4.10791255747751,19
"59","M_D13_SW2_5_S275_L001","M_D13_SW2_5_S275_L001",17,1.68597550284444,3.91106663710801,"M_D13_SW2.5",NA,17144,15926,"SW2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SW",NA,NA,NA,"","early",17144,FALSE,17144,0.595075378414914,17144,3.65864582976175,17
"60","M_D13_SW2_6_S276_L001","M_D13_SW2_6_S276_L001",24,1.63372231509092,3.5518105992534,"M_D13_SW2.6",NA,34200,32236,"SW2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SW",NA,NA,NA,"","early",34200,FALSE,34200,0.514063764273008,34200,4.27777060310861,24
"61","M_D13_SW2_7_S277_L001","M_D13_SW2_7_S277_L001",18,1.75189195931604,4.25776852393211,"M_D13_SW2.7",NA,24687,22845,"SW2.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",24687,FALSE,24687,0.60611302145825,24683,3.99405975396157,18
"62","M_D13_SW2_8_S278_L001","M_D13_SW2_8_S278_L001",16,1.62236836241854,3.77545610261269,"M_D13_SW2.8",NA,17957,16979,"SW2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",17957,FALSE,17957,0.585145697739093,17957,4.12840678237225,16
